Office Number	Name English	Name Arabic	Website	Phone Number	Email
23378	AKN PROPERTIES L.L.C	ايه كيه ان للعقارات ذ.م.م			admin@aknproperties.com
2370	MOUNTAIN GATE REAL ESTATE BROKER L.L.C	ماونتن جيت للوساطة العقارية ش.ذ.م.م	www.mountaingate.ae	97144524466	haytham@mountaingate.ae
2025	CUSHMAN & WAKEFIELD CORE REAL ESTATE L.L.C	كوشمان اند واكفيلد كور للعقارات ش.ذ.م.م		42452100	hr@cushwake.ae
283	TABANI REAL ESTATE L.L.C	تباني للعقارات ش.ذ.م.م	www.tabanirealestate.ae	971-4-3792565	pm.info@tabanirealestate.ae
1021	S P F REALTY REAL ESTATE BROKER (L.L.C)	اس بي اف ريالتي للوساطة العقارية (ش.ذ.م.م)		971-4-3396222	ks@spfrealty.com
1162	BINAYAH PROPERTIES L.L.C	بنايه للعقارات ش.ذ.م.م		971|543782440	Pro@binayah.com
918	M A R REAL ESTATE BROKER	ام ايه آر للوساطة العقارية	Manzoor Ahmed	44328398	mn@ma1world.com
456	KEY ONE REALTY L.L.C	كي وان ريالتي ش.ذ.م.م	www.keyoneproperties.com	97142089111	ceo@keyonerealtygroup.com
2416	CONTINENTAL REAL ESTATE (Branch)	كونتيننتال للعقارات (فرع)	www.cre-me.com	971-4-2225586	shaban@cre-me.com
259	A & A REAL ESTATE BROKERS L.L.C	اي & اي للوساطة العقارية ش.ذ.م.م	www.aarealgroup.com	971-4-4477834	info@aarealgroup.com
801	HIGH MARK REAL ESTATE BROKERS L.L.C	هاي مارك للوساطة العقارية ش.ذ.م.م		971-4-2796999	info@highmarkuae.com
1303	A 2 Z PROPERTIES L.L.C	ايه 2 زد للوساطة العقارية ش.ذ.م.م		971-04-3347205	simmi@a2zproperties.org
2456	ATOMIC PROPERTIES L.L.C	اتوميك بروبرتيس ش.ذ.م.م	www.atomic.ae	971-4-4474188	admin@atomic.ae
33504	EXPERT CARE REAL ESTATE L.L.C	اكسبرت كير للعقارات ش.ذ.م.م		971-4-2639922	ks.property12@gmail.com
2284	SHOAIB REAL ESTATE BROKER L.L.C	شعيب للوساطة العقارية ش.ذ.م.م	www.shoaibre.com	971-04-8787053	v2sf@yahoo.com
1564	LEGACY REAL ESTATE BROKERS	ليجاسي للوساطة العقارية		43298121	tejal@legacydubai.com
823	DIAMOND CITY REAL ESTATE BROKER	مدينة الالماس للوساطة العقارية	www.diamondcityre.com	971-4-4385232	sufi@diamondcityre.com
563	SKY VIEW REAL ESTATE BROKERS L.L.C	منظر السماء للوساطة العقارية ذ.م.م	www.skyviewdubai.com	971-4-4370431	akash@skyviewdubai.com
756	VANGUARD REAL ESTATE BROKERS	فانجارد للوساطة العقارية	www.vanguard.ae	971-4-4392273	karim@vanguard.ae
944	HUNTER & HUNTER PROPERTIES	هنتر & هنتر للعقارات	www.hunterandhunter.com	43991851	jbr@hunterandhunter.com
509	TOP CLASS REAL ESTATE BROKER (L.L.C)	المستوى الرفيع للوساطة العقارية (ش.ذ.م.م)	www.tcre.ae	971-4-3388745	raj@tcre.ae
1808	SCOPE REAL ESTATE BROKER L.L.C	اسكوب للوساطة العقارية ش.ذ.م.م		971-4-3467011	cs@scoperealestatedubai.com
1057	VALOREM REAL ESTATE BROKERS L.L.C	فالوريم للوساطة العقارية ش.ذ.م.م	www.valorem.ae	971-4-3791819	info@valoremdxb.ae
610	AL KHAIL REAL ESTATE BROKER L.L.C	الخيل للوساطة العقارية ش.ذ.م.م	www.alkhail.ae	971-04-2493610	info@alkhailuae.com
1470	CRYPTO PROPERTIES L.L.C	كريبتو للعقارات ش.ذ.م.م		503500609	farzin@micasauae.com
312	CASA BELLA PROPERTY BROKER L.L.C	كازابيلا للوساطة العقارية ذ.م.م	www.casabella.ae	971-4-3321090	pouneh@casabella.ae
469	W CAPITAL REAL ESTATE BROKER	دبليو كابيتال للوساطه العقاريه		971|501151118	walid.alzarooni@gmail.com
1047	KINGDOM REAL ESTATE L.L.C	كينجدم العقارية ش.ذ.م.م	www.mag.ae	43252799	ceo@kingdomproperties.ae
1038	REALTY FORCE REAL ESTATE BROKERS L.L.C	ريالتي فورس للوساطة العقارية ش.ذ.م.م	https://www.realtyforce.ae		riyaz@realty-force.com
19498	HOME MATTERS REAL ESTATE BROKER L.L.C	هوم ماترز للوساطة العقارية ش.ذ.م.م		97145579973	sawan@homematters.ae
2518	NEW AGE REAL ESTATE BROKER L.L.C	العصر الجديد للوساطه العقارية ش.ذ.م.م		44327307	md@newageuae.com
422	SAVILLS REAL ESTATE L.L.C	ساويلس للعقارات ش.ذ.م.م		971-4-3657700	ABDUL.ALHASHMI@SAVILLS.ME
180	ASTECO PROPERTY MANAGEMENT (L.L.C.)	استيكو لادارة العقارات (ش . ذ. م. م)		44037777	ahmedebid@asteco.com
1774	H B S REAL ESTATE	اتش بي اس للعقارات		971044277224	said@hbs-dubai.com
17651	VAKSON REAL ESTATE (L.L.C)	فاكسون للعقارات (ش.ذ.م.م)		43219993	contact@vakson.com
308	BLUECHIP REAL ESTATE BROKER l.l.c	بيلوشيب للوساطة العقارية ش.ذ.م.م	www.bluechiphome.com	971-4-3951212	nidhi@bluechiphome.com
1534	CITY TOWER REAL ESTATE L.L.C	برج المدينة للعقارات (ش. ذ. م. م)		971-4-2500200	info@citytowerrealestate.com
1399	KHALIFA BAKHIT REAL ESTATE L.L.C	خليفة بخيت للعقارات ش.ذ.م.م	www.khalifabakhit.com	43746151	usman_319@live.com
1219	L D I INTERNATIONAL REAL ESTATE BROKER (L.L.C)	ال دي اي انترناشيونال للوساطة العقارية (ش.ذ.م.م)	www.livedubai.co.uk	97144323920	contracts@livedubai.co.uk
1413	S T CLAIR REAL ESTATES BROKER L.L.C	اس تي كلير للوساطة العقارية ش.ذ.م.م		971-4-4542751	accounts@stclair.ae
359	BHH REAL ESTATE BROKER L.L.C	بي اتش اتش للوساطة العقارية ذ.م.م		971-04-3992447	info@bhhsgp.com
134	ARAB VISION REAL ESTATE BROKERS	الرؤية العربية للوساطة العقارية	https://salesnlease.com/	971-4-3432393	sunil@arabvision.ae
1860	FORTUNE 5 REAL ESTATE BROKER L.L.C	فورتشون5 للوساطة العقارية ش.ذ.م.م		97144488555	yasser@f5-investments.com
1671	IMEX REAL ESTATE BROKER (L.L.C)	ايمكس للوساطه العقارية (ش.ذ.م.م)	www.imexre.com	971-4-3951911	oleg@imexre.com
2148	A A J PROPERTY L.L.C	ايه ايه جيه العقارية ش.ذ.م.م	http://aajproperty.com/		wasim@aajproperty.com
1913	SUCCESS REAL ESTATE BROKERS	سكسيس للوساطة العقارية		971043957207	successdxb69@gmail.com
1571	I M J REAL ESTATE BROKERS (L.L.C)	اي ام جي للوساطة العقارية (ش.ذ.م.م)	www.imjrealestate.com	971-4-4477109	IMU316@GMAIL.COM
12388	MEHTAB J & B PROPERTIES L.L.C	مهتاب جيه & بي العقارية ش.ذ.م.م		971-4-5594888	fexpressdxb@gmail.com
2129	STONES INTERNATIONAL REAL ESTATE BROKERS L.L.C	ستونز انترناشيونال للوساطة العقارية ش.ذ.م.م	www.stones.ae	971-4-3998833	chandan@stonesstar.com
13210	MOHAMED AL NAHDI PROPERTIES	محمد النهدي للعقارات		43663334	mohamed@alnahdiproperties.com
19899	COUNTRY HOME REAL ESTATE BROKER L.L.C	كانتري هوم للوساطة العقارية ش.ذ.م.م	www.countryhome.ae	42414845	Md@countryhome.ae
18256	SYGMA REAL ESTATE	سيغما للوساطة لبعقارية		42432670	usman.82@hotmail.com
19642	R E M REAL ESTATE BROKER OWNED BY MUNA SAYED SAEED ALHASHEMI ONE PERSON CO L.L.C	ار اي ام للوساطة العقارية لمالكها منى السيد سعيد الهاشمي شركة الشخص الواحد ش.ذ.م.م		971-4-5736900	moh.alahmad1991@gmail.com
19707	XSPACE REAL ESTATE	اكسسبيس للعقارات	www.grre.ae	971-4-4370622	jasonjiang0427@gmail.com
19067	HAMRA PROPERTIES	حمره العقارية		971-04-2424149	IALHUDAIDI@GMAIL.COM
17301	MILESTONE HOMES REAL ESTATE BROKER	ميل ستون هومز للوساطة العقارية			makhasan2000@gmail.com
2353	DARWISH AL FALASI REAL ESTATE BROKERS	درويش الفلاسي للوساطة العقارية		559233405	darwishrealestate@gmail.com
12948	SILVER TIME PROPERTIES	سيلفر تايم للعقارات	www.silvertimeproperties.com	45754987	YDY101@YAHOO.COM
15607	KELLER WILLIAMS REAL ESTATE L.L.C	كيلر ويليامز للعقارات ش.ذ.م.م	kwdubai.com	971-4-4227428	abdul@kwdubai.ae
12391	PROPERTY PRO REAL ESTATE BROKERS	بروبارتي برو للوساطة العفارية	www.propertypro.ae		info@propertypro.ae
11960	VOGUE PROPERTIES OWNED BY SALEH MUBARAK ALQAITI ONE PERSON COMPANY L.L.C	فوج بروبرتيز لمالكها صالح مبارك القعيطي شركة الشخص الواحد ش.ذ.م.م	www.vogueproperties.ae	971-4-3757444	nedal@vogueproperties.ae
12839	KEY WORTH PROPERTIES L.L.C	كي ورث للعقارات ش.ذ.م.م		971-4-2945228	info@keyworthproperty.com
12466	TEXTURE PROPERTIES L.L.C	تيكيستشر للعقارات ش.ذ.م.م	www.textureproperties.com	97143232455	accountsassistant@textureproperties.com
2617	TRIANGLE CITY REAL ESTATEBROKER L.L.C	مثلث المدينة للوساطة العقارية ش.ذ.م.م	www.tcrbroker.com	44574202	naseer.properties@gmail.com
12364	AL SARAH PROPERTIES	الساره للعقارات			saqib23@live.com
2598	FORTUNE HOMES REAL ESTATE BROKERAGE	فورتشن المنازل للوساطة العقارية		971-04-4471990	fortunehomesinfo@gmail.com
30694	DAR AL BAHAR FOR REAL ESTATE BUYING & SELLING BROKERAGE L.L.C	دار أل بحر للوساطة في بيع العقارات وشرائها ش.ذ.م.م		971-4-971561512777	dxb6244364@gmail.com
15241	I Q I PROPERTIES	آي كيو آي للعقارات		971-4-3524748	ahlan@iqiproperties.com
11964	KNIGHT FRANK REAL ESTATE BROKERAGE L.L.C	نايت فرانك للوساطة العقارية ش.ذ.م.م		97144512000	analyn.cuajotor@me.knightfrank.com
11778	AL AMMAN PROPERTIES	الأمان للعقارات		971-4-3713333	Workspace2019@icloud.com
11995	ABODE PROPERTY L.L.C	ابودى للعقارات ذ.م.م	www.abodeproperty.ae	971-4-8812777	mark@abodeproperty.ae
11898	TOP LINE REAL ESTATE BROKER	توب لاين للوساطه العقارية	http://www.tlre.ae/	97144540990	hanif@tlre.ae
2608	MHM REAL ESTATE	ام اتش ام للعقارات	www.mhmrealestate.com	445188440	Reception@mhmrealestate.com
12282	BELLEVIEW REAL ESTATE BROKER	بيلفيو للوساطة العقارية	www.belleview.ae	971-4-5466194	admin@belleview.ae
11721	STONE HOUSE REAL ESTATE BROKERAGE L.L.C	إستون هاوس للوساطة العقارية ش.ذ.م.م	http://www.stonehouserealestate.ae	971-4-3792211	moin@stonehouserealestate.ae
34307	DUBAI DUNES PROPERTIES L.L.C	دبي ديونز العقارية ش.ذ.م.م			Mohamed@dubaidunesproperties.com
11929	SPRING FIELD REAL ESTATE	سبرنج فيلد للوساطة العقارية	www.springfield-re.com	971-4-4542588	MASROOR.SPRINGFIELD@GMAIL.COM
26387	BLACK BRICK PROPERTY L.L.C	بلاك بريك للعقارات ش.ذ.م.م		971-04-5911275	be@blackbrickproperty.com
11902	ROYAL PARK REAL ESTATE BROKER	رويال بارك للوساطة العقارية	www.royalparkhome.com		rustam@royalparkdxb.ae
25250	BENEFITS PROPERTIES L.L.C	بنيفتس العقارية ش.ذ.م.م			info@benefitsuae.com
12838	ARABIAN SANDS REAL ESTATE L.L.C	اربيان ساندس للعقارات ش.ذ.م.م		971|509533066	yousuf.siddiki@asre.ae
11959	PROPERTY BOUTIQUE REAL ESTATE L.L.C	بيروبيرتى بوتيك العقارية ش.ذ.م.م	propertyboutique.ae	971-4-4425434	info@pbredubai.com
12534	UBER HOMES REAL ESTATE L.L.C	اوبر هومز للعقارات ش.ذ.م.م	www.uberhomesuae.com	971-4-3795959	pavan@uberhomesuae.com
11870	SYNERGY PROPERTIES	سينرجي للعقارات		971-4-3258819	
11972	GULF INVEST REAL ESTATE BROKER	الخليج انفيست للوساطة العقارية		971-4-4410291	dubairealt@gmail.com
12550	NEXT LEVEL REAL ESTATE	نيكست ليفيل للعقارات	www.nextlevelrealestate.ae	971-4-4542828	ahad@nextlevelrealestate.ae
15451	VOSTOK REAL ESTATE	فوستوك للوساطة العقارية	vostokrealestate.com	971-4-2417773	info@vostokrealestate.com
11651	YOUR PLACE REAL ESTATE BROKER	يور بلايس للوساطة العقارية	www.yourplace.ae	43682168	marcello@yourplace.ae
15671	DREAM CATCHER REAL ESTATE BROKERS L.L.C	دريم كاتشر للوساطة في بيع العقارات وشرائها ش.ذ.م.م	www.dcbrokers.net	971-4-2833746	admin@dcbrokers.net
15570	H M S HOMES REAL ESTATE	اتش ام اس هومز للعقارات		971-4-4250600	
11878	LA PALMA PROPERTIES L.L.C	لا بالما للعقارات ش.ذ.م.م	https://www.lapalmadubai.com/	971-4-4542117	afshan.amdani@lapalmadubai.com
11941	LUXURY CONCIERGE REAL ESTATE BROKER L.L.C	لكتشري كونسيرج للوساطة العقارية ش.ذ.م.م	www.lcredubai.com	971-4-4414387	info@lcredubai.com
15568	RAINE AND HORNE REAL ESTATE L.L.C	رين آند هورن للعقارات ش.ذ.م.م		971-4-3663200	
26880	PROPHUNTERS REAL ESTATE	بروبهانترز للعقارات			ahsansakhawat@gmail.com
15717	NOVEL HOMES PROPERTIES	نوفل هومز للعقارات	www.novelproperties.ae	45519969	info@novelproperties.ae
12519	HOUSE 2 HOME REAL ESTATE PROPERTIES L.L.C	هاوس 2 هوم ريال استيت بروبيرتيس ش.ذ.م.م	www.house2homeuae.com	971-4-2980201	deepakk@house2homeuae.com
12448	ZOOMA PROPERTIES L.L.C	زوما بروبيرتس ش.ذ.م.م	www.zooma.ae		wael@zooma.ae
31258	CAPITAL WESTERN REAL ESTATE L.L.C	كابيتال وسترن للعقارات ذ.م.م			babaktaherkhani@ymail.com
11666	S .A. S INTERNATIONAL REAL ESTATE CO. L.L.C	اس. ايه. اس انترناشيونال للعقارات ذ.م.م	www.sasrealestateuae.com	971-4-2504444	saif@sasrealestateuae.com
12547	FALCON STAR REAL ESTATE L.L.C	فالكون ستار للعقارات ش.ذ.م.م		971-4-3885855	falconstarrealestate@gmail.com
11864	RESIDENCE REAL ESTATE	ريزيدنس للعقارات		971-04-8790730	info@residencedubai.com
27624	URBAN AVENUE PROPERTIES	اوربان افنيو للعقارات			bin.ghubash88@gmail.com
12148	VARDHMAN REALTY	وردهمان للعقارات		971-4-3266106	jiten@vardhmanintl.com
24905	SWAP REAL ESTATE BROKERS L.L.C	سواب للوساطة العقارية ش.ذ.م.م		47080808	admin@cbswap.ae
11892	BACK YARD REAL ESTATE BROKERAGE L.L.C	باك يارد للوساطة العقارية ذ.م.م		45197666	info@backyard.ae
11868	IMPERIAL HOMES REAL ESTATE BROKERS	امبيريال هومس للوساطة العقارية	www.imperialhomesdubai.com	971-4-4274076	muhammadhadaitullah@hsbc.com
2530	UNIQUE ZONE REAL ESTATE	المنطقة الفريدة العقارات	www.uzdubai.com	971-04-3273377	ankush@uzdubai.com
15236	A M S REAL ESTATE BROKERS	ايه ام اس للوساطة العقارية		971-4-3380111	sanjeev@amsre.ae
12237	INSPIRE REAL ESTATE BROKER L.L.C	انسبايرللوساطة العقارية ش.ذ.م.م	eastwest82@gmail.com	971-4-3888711	info@inspireprop.com
12521	SIR REAL ESTATE L.L.C	اس اي ار للعقارات ش.ذ.م.م		971600545451	hr@sothebysrealty.ae
11881	AVANTI REAL ESTATE	اوانتي للوساطة العقارية			revaz@avanti-re.com
2533	ROYAL HOME REAL ESTATE	رويال هوم للعقارات	Mahoud Khalil	971-04-3990990	info@royalhome.ae
1875	SUPERIORITY REAL ESTATE BROKER L.L.C	سوبيريوريتي للوساطه العقارية ش.ذ.م.م	www.superdxb.com	971-4-4572248	INFO@SUPERDXB.COM
1645	L . Y . M REAL ESTATE BROKERS(L.L.C)	ال . واي . ام للوساطه العقاريه(ش.ذ.م.م)	www.lymdubai.com	971-4-4579418	IMRAN@LYMDUBAI.COM
2112	ROYAL OASIS REAL ESTATE BROKERS L.L.C	الواحة الملكية للوساطة العقارية ذ.م.م		971-4-5534695	info@royaloasis.co.ae
169	PRIME LINKS REAL ESTATE BROKERS L.L.C	الروابط الممتازة للوساطة العقارية ذ.م.م	www.primelinks.ae	971-4-2771143	amer@primelinks.ae
150	AMLAK REAL ESTATE L.L.C	املاك للعقارات ش.ذ.م.م		97142599933	KADIDUBAI@GMAIL.COM
156	GROUP SEVEN PROPERTIES (L L C)	جروب سفن للعقارات (ش ذ م م)	http://www.group7properties.com	971-4-3663377	lucy.s.ghattas@group7properties.com
2377	MOVE IN REAL ESTATE BROKER	موف ان للوساطة العقارية	www.moveindubai.com	971-04-4327866	info@moveindubai.com
3	ALI AL HAJ REAL ESTATE BROKER	علي الحاج للوساطة العقارية		971-4-6444519	amam_alhaj@hotmail.com
1723	OSLOOB REAL ESTATE (L.L.C)	اسلوب للعقارات (ش.ذ.م.م)		971|042226444	osloobrealestate03@gmail.com
321	Group A	المجموعة أ			info@dubailand.gov.ae
1511	PRIMA LUXURY REAL ESTATE BROKER L.L.C	بريما لكزريز للوساطة العقارية ش.ذ.م.م		971-4-3799507	info@primaluxury.com
120	CHINA TOWN REAL ESTATE	مدينة الصين للعقارات		971-4-4430268	chinatowndubai@hotmail.com
171	CITY HOME REAL ESTATE BROKRAGE L.L.C	بيت المدينة للوساطة العقارية ذ.م.م		971-4-3414699	info@cityhomerealestate.com
1139	3 G REAL ESTATE	3 جي للوساطة العقارية		971-4-4472272	adnanb@3guae.com
2293	AL RAEA REAL ESTATE (Branch)	الرائع للعقارات (فرع)	www.alraea.com	971-4-2681833	helalzoha@alraea.com
30852	HENGAMEH ABEDI REAL ESTATE BROKERAGE L.L.C	هنكامه عابدى للوساطة العقارية ش.ذ.م.م		97142501693	hengameh@harealestate.ae
12518	MAGUS REAL ESTATE BROKERS L.L.C	ماجوس للوساطة العقارية ش.ذ.م.م		971-4-2249094	chintan@magus-re.com
2497	MAHEL REAL ESTATE BROKER	ماهيل للوساطة العقارية	SHEIROSE NURMMAD OSSEMANE	971-4-4471702	mahelrealestate@gmail.com
12812	NEXT REAL ESTATE	القادم للعقارات	NEXT REAL ESTATE	971-4-2341575	dubaifirst1@yahoo.com
1018	ICON REAL ESTATE BROKERS EST.	مؤسسة أي كون للوساطة العقارية		971-4-5539020	imdadilyas@gmail.com
727	ARAB LAND REAL ESTATE L.L.C	ارض العرب للعقارات ش.ذ.م.م	Mohammad Rafie	971-4-3298844	ceo@arabland.ae
2427	NEW HOMES REAL ESTATE BROKER	نيو هومس للوساطة العقارية	www.newhomesuae.com	971-4-4473501	saleem@newhomesuae.com
670	EXCEL REAL ESTATE BROKER L.L.C	اكسل للوساطة العقارية ش.ذ.م.م	www.excelproperties.ae	971-4-3364447	mak@excelproperties.ae
2132	LAND COM REAL ESTATE L.L.C	لاند كوم للعقارات ش.ذ.م.م		42221226	abduldubai786@gmail.com
17340	AL HIRMAS AL THAHABI REAL ESTATE BROKER	الهرماس الذهبي للوساطة العقارية		44427116	alhirmas@tigergroup.ae
21514	TAMANI REAL ESTATE	تماني للعقارات		9714666993	mshwaini@yahoo.com
20687	FRIENDS REAL ESTATE BROKER	فريندس للوساطة العقارية		45656216	sarwarzaib@gmail.com
21915	DISTRICT REAL ESTATE L.L.C	ديستريكت للعقارات ش.ذ.م.م		971-04-5542518	Camelia.savoye@hotmail.com
22137	ALNAKHLAT ALTHALATH REAL ESTATE BROKER ONE PERSON COMPANY L.L.C	النخلات الثلاث للوساطة العقارية شركة الشخص الواحد ش.ذ.م.م			khaoula@tptdubai.com
16737	LANDSMITH REAL ESTATE BROKER	لاندسميث للوساطة العقارية		971-4-2417191	info@landsmith.ae
21126	Cogent Real Estate LLC	كوجبنت للعقارات ش.ذ.م.م		43999927	pooja.laller@gmail.com
20643	SPACE & PLACE REAL ESTATE BROKER L.L.C	سبيس & بليس للوساطة العقارية ش.ذ.م.م		971-04-2401777	info@spaceandplace.ae
20456	FIDU PROPERTY REAL ESTATE BROKERAGE	اف اي دي يو بروبيرتي للوساطة العقارية	www.299.com	971-4-3399222	hr@fiduproperties.com
17231	DARKOM REAL ESTATE L.L.C	داركم للعقارات ش.ذ.م.م		971-4-4547765	ALI@DARKOMRE.AE
21815	M AND T REALTY REAL ESTATE BROKERS L.L.C	ام اند تي ريالتي للوساطة العقارية ذ.م.م			hmurtaza99@yahoo.com
20778	LIMES WOOD REAL ESTATE BROKERS L.L.C	ليمس وود للوساطة العقارية ش.ذ.م.م			info@limeswood.ae
18690	AMBER HOMES REAL ESTATE L.L.C	أمبر هومز للوساطة العقارية ش.ذ.م.م		43684497	ambreen@amberhomes.ae
21329	STONE BRIDGE REAL ESTATE BROKER L.L.C	ستون بريدج للوساطه العقاريه ش.ذ.م.م		971-4-4272294	info@stonebridgere.ae
17463	HOME SQUARE REAL ESTATE L.L.C	هوم سكوير للعقارات ش.ذ.م.م		971-4-2364444	shaan@zestrealtors.com
18190	EDEN FORT REAL ESTATE	ايدين فورت للعقارات	www.edenfort.ae	97143230688	wasif@edenfort.ae
19025	FAST WAY REAL ESTATE BROKER L.L.C	فاست واي للوساطة العقارية ش.ذ.م.م		42427909	huimin.wang@fastway.vip
17224	THINK PROPERTIES REAL ESTATE	ثينك بروبرتيز للوساطة العقارية	www.think-properties.ae	971-04-5543227	bharatbedi@think-properties.ae
17550	BROWN STONE REAL ESTATE	براون ستون للعقارات	www.brownstone.ae		iblinksdubai@gmail.com
20108	UNITED REALTY REAL ESTATE BROKER	يونايتد ريالتي للوساطة العقارية		971-4-5645383	omerdxb@gmail.com
16416	NEWPORT HOMES REAL ESTATE BROKER	نيوبورت هومز للوساطة العقارية	www.newport-homes.com	971-4-5586510	Nasser@nph.ae
20736	PLUSH REAL ESTATE	بلاش للعقارات			piyush@plushre.ae
13195	UNIQUE PROPERTIES L.L.C (BRANCH)	يونيك بروبرتيز ش.ذ.م.م (فرع)		971-4-4558888	evelyn@UNIQUEPROPERTIES.AE
19755	POSITIVE PROPERTIES L.L.C	بوزيتيف للعقارات ذ.م.م		971-04-5517101	joseallwyn@gmail.com
21423	RENAISSANCE REAL ESTATE BROKERS L.L.C	رينيسانس للوساطة العقارية ش.ذ.م.م	www.rrealestate.ae		mazin@rrealestate.ae
19034	NORTHGATE REAL ESTATE BROKERAGE L.L.C	نورث جيت للوساطة العقارية ش.ذ.م.م	www.john-taylor.ae	971-4-3665555	dubai@john-taylor.com
20611	VERA REAL ESTATE L.L.C	فيرا للعقارات ش.ذ.م.م	www.verare.ae		admin@verare.ae
12445	ATOMIC PROPERTIES LLC (DMCC BRANCH)	أتوميك بروبرتيس ش.ذ.م.م فرع م.د.م.س	www.atomicproperties.org	44342678	admin@atomic.ae
16580	MOON WAY REAL ESTATE L.L.C	مون واي للعقارات ش.ذ.م.م		971-04-2959965	HUZAIFAKHALID@HOTMAIL.COM
20487	FIVE PILLARS REAL ESTATE	فايف بيلرز للعقارات			5pillarsre@gmail.com
17190	FOREFRONT REALTY L.L.C	فورفرونت للعقارات ش.ذ.م.م		48323070	abbas@4frealty.com
16552	HOME DOT COM REAL ESTATE BROKER L.L.C	هوم دوت كوم للوساطة العقارية ش.ذ.م.م	www.homedxb.com	971-4-3250035	moh@homedxb.com
12808	SAWANI PROPERTIES L.L.C	سواني للعقارات ش.ذ.م.م		971-04-5138222	sawani.ae.ac@gmail.com
18310	F P M S T G REAL ESTATE L.L.C	اف بي ام اس تي جي للعقارات ش.ذ.م.م		971-4-4317733	info@stonetree.ae
23271	N M D REAL ESTATE BROKERAGE L.L.C	ان ام دي للوساطة العقارية ش.ذ.م.م		45472756	tymour@nomadhomes.co
12795	OCEAN REAL ESTATE	اوشن للعقارات	www.ocean-uae.com	42785111	info@ocean-uae.com
12806	V I P REAL ESTATE L.L.C	فى اى بى للعقارات ش.ذ.م.م	haxxon.asteco.net	971-4-1131725	quintro@gmail.com
22039	HOUSE LAND PROPERTIES L.L.C	هاوس لاند للعقارات ش.ذ.م.م			obaid@belresheed.ae
21750	HUAXIA REAL ESTATE BROKER LLC	هواشيا للوساطة العقارية ذ.م.م	https://www.huaxia.ae/	45897440	black@huaxia.ae
20006	CLEMSON PORTER PROPERTIES BROKER L.L.C	كليمسون بورتر للوساطة العقارية ش.ذ.م.م			admin@dubaioffplan.com
22004	KNIGHTSBRIDGE PROPERTIES	نايتسبريدج بروبرتيز	www.knightsbridgeprop.ae	971-04-2275700	info@knightsbridgeprop.ae
17425	EMPIRES HEIGHTS PROPERTIES L.L.C	امبايرس هايتس للعقارات ش.ذ.م.م	empirehfbb.com		jafar.arbab@empirehfbb.com
19479	B L B REAL ESTATE BROKERS	بي ال بي للوساطة العقارية		42355274	operations@prodesk.co
17406	IDEAL SHELTERS REAL ESTATE BROKERS	ايديل شيلتيرز للوساطة العقارية	www.idealshelters.ae	44249988	chusamamazhar@gmail.com
